,st_cty_code,county,state,cases
639,1765,Hamilton County,IL,0
640,1767,Hancock County,IL,0
641,1769,Hardin County,IL,0
642,1771,Henderson County,IL,0
643,1773,Henry County,IL,0
644,1775,Iroquois County,IL,0
645,1777,Jackson County,IL,0
646,1779,Jasper County,IL,0
647,1781,Jefferson County,IL,1
648,1783,Jersey County,IL,0
649,1785,Jo Daviess County,IL,5
650,1787,Johnson County,IL,0
651,1789,Kane County,IL,11
652,1791,Kankakee County,IL,5
653,1793,Kendall County,IL,4
654,1795,Knox County,IL,2
655,1797,Lake County,IL,39
656,1799,LaSalle County,IL,4
657,17101,Lawrence County,IL,0
658,17103,Lee County,IL,2
659,17105,Livingston County,IL,2
660,17107,Logan County,IL,1
661,17109,McDonough County,IL,1
662,17111,McHenry County,IL,29
663,17113,McLean County,IL,4
664,17115,Macon County,IL,1
665,17117,Macoupin County,IL,0
666,17119,Madison County,IL,2
667,17121,Marion County,IL,3
668,17123,Marshall County,IL,1
669,17125,Mason County,IL,0
670,17127,Massac County,IL,0
671,17129,Menard County,IL,0
672,17131,Mercer County,IL,1
673,17133,Monroe County,IL,0
674,17135,Montgomery County,IL,1
675,17137,Morgan County,IL,0
676,17139,Moultrie County,IL,2
677,17141,Ogle County,IL,2
678,17143,Peoria County,IL,4
679,17145,Perry County,IL,0
680,17147,Piatt County,IL,0
681,17149,Pike County,IL,0
682,17151,Pope County,IL,0
683,17153,Pulaski County,IL,0
684,17155,Putnam County,IL,0
685,17157,Randolph County,IL,0
686,17159,Richland County,IL,0
687,17161,Rock Island County,IL,6
688,17163,St. Clair County,IL,0
689,17165,Saline County,IL,2
690,17167,Sangamon County,IL,2
691,17169,Schuyler County,IL,0
692,17171,Scott County,IL,0
693,17173,Shelby County,IL,2
694,17175,Stark County,IL,0
695,17177,Stephenson County,IL,5
696,17179,Tazewell County,IL,3
697,17181,Union County,IL,0
698,17183,Vermilion County,IL,0
699,17185,Wabash County,IL,1
700,17187,Warren County,IL,0
701,17189,Washington County,IL,0
702,17191,Wayne County,IL,0
703,17193,White County,IL,0
704,17195,Whiteside County,IL,0
705,17197,Will County,IL,11
706,17199,Williamson County,IL,0
707,17201,Winnebago County,IL,10
708,17203,Woodford County,IL,4
709,17999,Illinois,IL,0
710,1801,Adams County,IN,1
711,1803,Allen County,IN,1
712,1805,Bartholomew County,IN,2
713,1807,Benton County,IN,0
714,1809,Blackford County,IN,0
715,1811,Boone County,IN,1
716,1813,Brown County,IN,1
717,1815,Carroll County,IN,1
718,1817,Cass County,IN,2
719,1819,Clark County,IN,2
720,1821,Clay County,IN,1
721,1823,Clinton County,IN,0
722,1825,Crawford County,IN,1
723,1827,Daviess County,IN,0
724,1829,Dearborn County,IN,2
725,1831,Decatur County,IN,0
726,1833,DeKalb County,IN,0
727,1835,Delaware County,IN,0
728,1837,Dubois County,IN,0
729,1839,Elkhart County,IN,3
730,1841,Fayette County,IN,0
731,1843,Floyd County,IN,3
732,1845,Fountain County,IN,0
733,1847,Franklin County,IN,1
734,1849,Fulton County,IN,5
735,1851,Gibson County,IN,1
736,1853,Grant County,IN,0
737,1855,Greene County,IN,1
738,1857,Hamilton County,IN,5
739,1859,Hancock County,IN,1
740,1861,Harrison County,IN,0
741,1863,Hendricks County,IN,0
742,1865,Henry County,IN,0
743,1867,Howard County,IN,1
744,1869,Huntington County,IN,0
745,1871,Jackson County,IN,1
746,1873,Jasper County,IN,2
747,1875,Jay County,IN,0
748,1877,Jefferson County,IN,2
749,1879,Jennings County,IN,1
750,1881,Johnson County,IN,2
751,1883,Knox County,IN,0
752,1885,Kosciusko County,IN,0
753,1887,LaGrange County,IN,0
754,1889,Lake County,IN,14
755,1891,LaPorte County,IN,11
756,1893,Lawrence County,IN,3
757,1895,Madison County,IN,0
758,1897,Marion County,IN,6
759,1899,Marshall County,IN,8
760,18101,Martin County,IN,0
761,18103,Miami County,IN,1
762,18105,Monroe County,IN,4
763,18107,Montgomery County,IN,2
764,18109,Morgan County,IN,1
765,18111,Newton County,IN,0
766,18113,Noble County,IN,0
767,18115,Ohio County,IN,0
768,18117,Orange County,IN,1
769,18119,Owen County,IN,2
770,18121,Parke County,IN,2
771,18123,Perry County,IN,0
772,18125,Pike County,IN,0
773,18127,Porter County,IN,20
774,18129,Posey County,IN,0
775,18131,Pulaski County,IN,4
776,18133,Putnam County,IN,3
777,18135,Randolph County,IN,0
778,18137,Ripley County,IN,2
779,18139,Rush County,IN,0
780,18141,St. Joseph County,IN,21
781,18143,Scott County,IN,0
782,18145,Shelby County,IN,0
783,18147,Spencer County,IN,1
784,18149,Starke County,IN,0
785,18151,Steuben County,IN,0
786,18153,Sullivan County,IN,0
787,18155,Switzerland County,IN,0
788,18157,Tippecanoe County,IN,2
789,18159,Tipton County,IN,0
790,18161,Union County,IN,0
791,18163,Vanderburgh County,IN,0
792,18165,Vermillion County,IN,1
793,18167,Vigo County,IN,0
794,18169,Wabash County,IN,0
795,18171,Warren County,IN,0
796,18173,Warrick County,IN,1
797,18175,Washington County,IN,0
798,18177,Wayne County,IN,0
799,18179,Wells County,IN,0
800,18181,White County,IN,1
801,18183,Whitley County,IN,0
802,18999,Indiana,IN,0
803,1901,Adair County,IA,1
804,1903,Adams County,IA,0
805,1905,Allamakee County,IA,10
806,1907,Appanoose County,IA,1
807,1909,Audubon County,IA,0
808,1911,Benton County,IA,5
809,1913,Black Hawk County,IA,4
810,1915,Boone County,IA,3
811,1917,Bremer County,IA,1
812,1919,Buchanan County,IA,3
813,1921,Buena Vista County,IA,0
814,1923,Butler County,IA,0
815,1925,Calhoun County,IA,0
816,1927,Carroll County,IA,0
817,1929,Cass County,IA,1
818,1931,Cedar County,IA,1
819,1933,Cerro Gordo County,IA,2
820,1935,Cherokee County,IA,0
821,1937,Chickasaw County,IA,1
822,1939,Clarke County,IA,0
823,1941,Clay County,IA,0
824,1943,Clayton County,IA,8
825,1945,Clinton County,IA,1
826,1947,Crawford County,IA,0
827,1949,Dallas County,IA,4
828,1951,Davis County,IA,1
829,1953,Decatur County,IA,1
830,1955,Delaware County,IA,2
831,1957,Des Moines County,IA,2
832,1959,Dickinson County,IA,2
833,1961,Dubuque County,IA,33
834,1963,Emmet County,IA,0
835,1965,Fayette County,IA,3
836,1967,Floyd County,IA,0
837,1969,Franklin County,IA,0
838,1971,Fremont County,IA,0
839,1973,Greene County,IA,0
840,1975,Grundy County,IA,0
841,1977,Guthrie County,IA,0
842,1979,Hamilton County,IA,1
843,1981,Hancock County,IA,0
844,1983,Hardin County,IA,0
845,1985,Harrison County,IA,0
846,1987,Henry County,IA,2
847,1989,Howard County,IA,0
848,1991,Humboldt County,IA,0
849,1993,Ida County,IA,0
850,1995,Iowa County,IA,3
851,1997,Jackson County,IA,4
852,1999,Jasper County,IA,2
853,19101,Jefferson County,IA,4
854,19103,Johnson County,IA,58
855,19105,Jones County,IA,2
856,19107,Keokuk County,IA,1
857,19109,Kossuth County,IA,0
